Zip Code,2019,2020,2021,2022,2023,2024,2025
90808,5941.607362797736,7675.457198204904,8859.549768726873,12052.37080709861,17613.376986514282,26409.49322467748,33344.89256630615
90810,1954.6112310539638,2211.7969193505382,2468.9826076471127,4732.216664656966,9052.936228039413,15636.88984843171,23661.083323284827
90813,4590.280764034064,6331.421743495262,5460.851253764663,6885.421146051097,12187.986856228377,22001.690558646034,33319.10692514381
90814,3266.191118174441,3636.3594449008774,4463.794528171736,5900.91862016849,7904.182505982148,10517.1354005217,14044.621808150096
90815,5855.7186008404815,7382.3067185693235,9273.453192770723,12941.821654775851,17931.714158994007,25336.805774842866,33835.572460109404
91001,7141.250008106578,10779.979576269874,12939.867180901565,17337.47617771924,23486.345394508553,32009.145131703874,39987.10835601912
91006,6267.268690966989,9545.271014426688,11702.298450071152,14895.378433544849,24100.96008802753,36261.839174023095,47284.758904206225
91007,5923.491377335456,9065.701857068958,10679.269400715893,15626.127791107152,24330.900066044556,35434.792504562276,45922.98153826735
91008,130.47657600279155,167.01001728357318,213.98158464457813,276.61034112591807,396.6487910484863,480.15379969027293,594.9731865727294
91010,3098.898480752529,3816.9359336098223,4648.347721128794,6953.625859249578,10997.310462182755,19424.802672034144,27134.257429028243
91011,3039.8160920941423,4414.970990898635,5559.836791817208,7132.382345952489,10126.140618469448,13284.391103762062,16416.322835010575
91016,6165.411843895137,9164.043967971407,11153.790517592111,15693.775602642165,22223.507237312926,32900.879566967684,44250.84227959282
91020,974.7113956719179,1492.5268246226244,2284.4798336060576,3259.1912292779753,4995.395902818579,7645.392509801606,11148.261587997562
91024,2034.3326480734397,2414.0747423804823,3010.8123191486907,3933.04311960865,5438.449279182996,7377.846403679675,9181.621351638125
91030,4619.210766509104,6592.7435398164,7922.733017480012,10740.022556186803,13943.438072279805,18963.075778300536,24283.033688954984
91040,3730.3065113443618,5216.106562473048,6480.617244284696,10084.472687447895,18177.34105104244,26523.111550999318,37239.839579353036
91042,3357.522451794216,5252.361855282041,6149.917362197326,11103.094048507604,18615.966069354068,30749.58681098663,45675.602463022304
91046,7.36279432770325,14.7255886554065,7.36279432770325,14.7255886554065,29.451177310813,44.1767659662195,29.451177310813
91101,2796.7595024239536,4718.197328516746,5465.423149775054,7920.593705338068,10930.846299550109,15520.947772994003,20922.32299523263
91103,4773.740689385524,5690.863284883235,7219.400944046088,9523.965414783926,14133.094356259606,18507.063657864077,23986.28326686322
91104,6363.950177741287,9058.364567510784,10418.402307108721,15499.298013531201,22196.842353815377,30280.085523123867,39235.80573292915
91105,1934.1561733193685,2944.3025148505367,3711.7005107424316,4862.797504580275,6240.981660467759,8370.90262865751,10109.294007106495
91106,3457.1043525983864,4535.602719007285,5584.553184966624,7194.913759467582,10400.860958244719,14640.984672756415,18408.34198007517
91107,5560.580347155706,8323.917531870278,10985.536783405174,14562.617433557167,20631.78744661126,29786.40143278224,37686.49424307053
91108,2229.0025364667304,2871.9840373705947,3478.22373822281,4421.263272881811,6172.622408677099,8389.377678459947,9803.936980448447
91125,0.0,0.0,0.0,0.0,31.646938109596693,31.646938109596693,158.23469054798346
91201,3737.79482855292,4697.962307447248,6138.21352578874,9876.00835434166,16048.513575805198,25067.229538276923,37789.44863362677
91202,3573.140186993073,4964.026971191719,6067.144075900989,8968.821677418853,13908.867841986457,21798.553221320155,30023.96989339146
91203,2375.2914739835337,4102.776182335195,5074.486330783004,8493.466482729,12200.360752733604,22421.311943814264,31814.510045476418
91204,2792.588907231745,3418.5140071285155,4333.327614669949,8088.878214050572,12277.76157489819,26337.0022802718,40877.72383171985
